Conditions
"[""minIR_30 = '1'"", ""deltaQ_min_70 = '0'"", ""IRDiff2And100_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""qd2_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""qd2_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""minIR_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""qd2_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""minIR_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""qd2_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""minIR_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_35 = '0'"", ""tempIntT_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""qd2_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""minIR_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""qd2_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""minIR_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""qd2_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""minIR_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""tempIntT_35 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_95 = '0'"", ""tempIntT_45 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_45 = '0'"", ""deltaQ_min_95 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_45 = '0'"", ""tempIntT_95 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_95 = '0'"", ""tempIntT_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""qd2_30 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""tempIntT_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""minIR_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""qd2_30 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""tempIntT_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""minIR_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""qd2_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""IRDiff2And100_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""IRDiff2And100_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""IRDiff2And100_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""qd2_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""qd2_30 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""tempIntT_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""minIR_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_35 = '0'"", ""qd2_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_35 = '0'"", ""minIR_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""tempIntT_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""qd2_30 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""tempIntT_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""minIR_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""qd2_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""qd2_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""capFadeCycle2Intercept_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""qd2_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""tempIntT_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""tempIntT_45 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_95 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""tempIntT_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""tempIntT_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""qd2_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""qd2_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""tempIntT_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""tempIntT_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""tempIntT_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""tempIntT_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""deltaQ_min_85 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""deltaQ_min_85 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""deltaQ_min_85 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""qd2_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""tempIntT_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""minIR_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""qd2_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""tempIntT_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""minIR_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""qd2_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""qd2_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""qd2_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""minIR_25 = '0'""]"
"[""minIR_30 = '1'"", ""avgChargeTime_30 = '1'""]"
"[""minIR_30 = '1'"", ""avgChargeTime_60 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_95 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_95 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_95 = '0'"", ""tempIntT_35 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_35 = '0'"", ""deltaQ_min_95 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_35 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""minIR_30 = '1'"", ""tempIntT_35 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_35 = '0'"", ""tempIntT_95 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_95 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""minIR_30 = '1'"", ""tempIntT_95 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_95 = '0'"", ""tempIntT_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""qd2_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""minIR_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""qd2_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""minIR_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""capFadeCycle2Intercept_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""capFadeCycle2Intercept_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""capFadeCycle2Intercept_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""qd2_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""minIR_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""qd2_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""minIR_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""tempIntT_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""tempIntT_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""qd2_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""qd2_30 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""tempIntT_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""minIR_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_50 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""minIR_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""qd2_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""minIR_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""IRDiff2And100_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""IRDiff2And100_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""qd2_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""tempIntT_80 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""qd2_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""tempIntT_80 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""qd2_35 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""tempIntT_80 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""minIR_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_35 = '0'"", ""deltaQ_min_85 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""qd2_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""minIR_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""IRDiff2And100_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""qd2_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_30 = '0'"", ""minIR_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""tempIntT_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""deltaQ_min_85 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""deltaQ_min_85 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_95 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_95 = '0'"", ""capFadeCycle2Intercept_65 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_95 = '0'"", ""qd2_55 = '0'""]"
"[""minIR_30 = '1'"", ""deltaQ_min_95 = '0'"", ""IRDiff2And100_75 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Slope_20 = '0'"", ""deltaQ_min_95 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Slope_20 = '0'"", ""tempIntT_95 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Intercept_65 = '0'"", ""deltaQ_min_95 = '0'""]"
"[""minIR_30 = '1'"", ""capFadeCycle2Intercept_65 = '0'"", ""tempIntT_95 = '0'""]"
"[""minIR_30 = '1'"", ""qd2_55 = '0'"", ""deltaQ_min_95 = '0'""]"
"[""minIR_30 = '1'"", ""qd2_55 = '0'"", ""tempIntT_95 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_95 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_95 = '0'"", ""capFadeCycle2Intercept_65 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_95 = '0'"", ""qd2_55 = '0'""]"
"[""minIR_30 = '1'"", ""tempIntT_95 = '0'"", ""IRDiff2And100_75 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_75 = '0'"", ""deltaQ_min_95 = '0'""]"
"[""minIR_30 = '1'"", ""IRDiff2And100_75 = '0'"", ""tempIntT_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""minIR_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""tempIntT_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_60 = '0'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""minIR_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""minIR_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""minIR_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Slope_95 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_25 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""avgChargeTime_30 = '1'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""avgChargeTime_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""minIR_45 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""deltaQ_min_85 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_35 = '0'"", ""tempIntT_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_5 = '0'"", ""tempIntT_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""capFadeCycle2Slope_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""tempIntT_40 = '0'"", ""tempIntT_75 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""qd2_40 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""minIR_20 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""qd2_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""qd2_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_50 = '0'"", ""capFadeCycle2Intercept_60 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""capFadeCycle2Intercept_50 = '0'"", ""capFadeCycle2Intercept_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_25 = '0'"", ""capFadeCycle2Intercept_55 = '0'""]"
"[""deltaQ_var_5 = '1'"", ""tempIntT_30 = '0'"", ""qd2_45 = '0'"", ""capFadeCycle2Slope_95 = '0'""]"
